territorio,periodo,Indicador,Subcategoria_Indicador,tabela,variavel_cv,categoria,Estimativa,SE,cv_projeto,cv_oficial,dif,ok
Piauí,202501,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,852143.51265063,21896.610842478523,2.569591919366745,2.6,-0.030408080633255175,TRUE
Piauí,202502,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,880971.06042431,17282.551809811554,1.9617615817581568,2,-0.03823841824184315,TRUE
Piauí,202503,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,894078.26370197,17121.446286090206,1.9149829473762299,1.9,0.01498294737622996,TRUE
Piauí,202504,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,900585.04299576,16580.75152575902,1.8411089163332999,1.8,0.04110891633329983,TRUE
Piauí,202601,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,906845.86932107,15950.38360575908,1.7588858421663962,1.8,-0.04111415783360384,TRUE
Piauí,202602,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4087,99127,916547.19459067,14307.536458068804,1.561025612484532,1.6,-0.038974387515468,TRUE
Piauí,201602,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,411750.79826069,17177.710907809145,4.171870699551989,4.2,-0.028129300448011207,TRUE
Piauí,201603,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,419541.37014226,19931.860734946677,4.750868961549154,4.7,0.050868961549153546,FALSE
Piauí,201604,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,410858.97802156,19467.516428478535,4.738247785705432,4.7,0.038247785705431525,TRUE
Piauí,201701,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,408211.27938385,18673.909826275078,4.574569780252347,4.6,-0.025430219747653027,TRUE
Piauí,201702,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,408851.22310048,19681.891427572104,4.813949504251586,4.8,0.013949504251586475,TRUE
Piauí,201703,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,404976.10691227,18879.531402514735,4.6618877213426835,4.7,-0.0381122786573167,TRUE
Piauí,201704,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,398624.13760149,16022.131416321523,4.019358063143448,4,0.019358063143448234,TRUE
Piauí,201801,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,429450.9366725,14394.44635747416,3.3518255819875855,3.3,0.05182558198758569,FALSE
Piauí,201802,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,425930.00135958,15701.75267055868,3.6864631794985714,3.7,-0.013536820501428792,TRUE
Piauí,201803,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,436977.69050704,17723.574263606442,4.05594487971255,4,0.05594487971255013,FALSE
Piauí,201804,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,437291.0452074,17244.43830511513,3.9434693424687843,3.9,0.04346934246878442,TRUE
Piauí,201901,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,451898.69627765,17125.59731978537,3.7896983241711486,3.8,-0.01030167582885122,TRUE
Piauí,201902,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,462327.83829545,17098.153877000273,3.6982747870081143,3.7,-0.0017252129918858827,TRUE
Piauí,201903,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,460504.96454825,19933.38913862053,4.328593755373506,4.3,0.028593755373505836,TRUE
Piauí,201904,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,467550.22829284,20409.982297114107,4.365302605377139,4.4,-0.03469739462286103,TRUE
Piauí,202001,PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra60 anos ou mais,4094,4087,3302,477810.48601714,24763.635160635957,5.18273162379857,5.2,-0.017268376201430513,TRUE
