Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Micro_2253012,Micro 2253012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),1.4621086495877993,"1, 104",1.0061839526605168e-230,***,3.521643834311809e-229,***,169
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2210013,Micro 2210013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),0.3441374139191602,"1, 120",1.574519562672063e-215,***,2.8341352128097134e-214,***,210
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2254020,Micro 2254020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),100.96416657149034,"1, 75",3.002529762153125e-213,***,3.520207307351939e-213,***,126
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2210020,Micro 2210020,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),2.6351547763996166,"2, 107",1.7878706131109356e-205,***,1.7878706131109355e-204,***,163
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Micro_2253012,Micro 2253012,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),0.7177024524209941,"1, 104",1.9765224852823913e-203,***,6.522524201431891e-202,***,169
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Micro_2253012,Micro 2253012,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),0.5492037881123046,"2, 104",6.992847051051033e-203,***,1.6083548217417377e-201,***,169
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Micro_2210013,Micro 2210013,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),1.1203664029671163,"1, 86",4.673628706775785e-187,***,7.711487366180045e-186,***,132
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Micro_2210013,Micro 2210013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),0.9840925230691652,"1, 86",5.313596337158411e-167,***,9.298793590027219e-166,***,132
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Micro_2210013,Micro 2210013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),3.815550157693949,"1, 60",2.8066282375972063e-126,***,9.823198831590222e-125,***,81
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2252021,Micro 2252021,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),39.17271035643677,"1, 34",8.863389513316255e-103,***,1.0045174781758423e-102,***,55
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2251021,Micro 2251021,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),53.5475968053581,"1, 38",9.488114787370237e-94,***,1.040631944421252e-93,***,54
Taxa_Desocupacao,Taxa de Desocupação,Micro_2252021,Micro 2252021,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),5.745088655995286,"1, 35",1.0953727668817541e-92,***,3.83380468408614e-91,***,57
