janela,amostragem,periodo,Indicador,Subcategoria_Indicador,Regiao_Geografica,Nivel_Geografico,Recorte_Demografico,Categoria_Demografica,n_trimestres,n_com_estimativa,cv_mediano,cv_p80,cv_max,pct_excelente,pct_boa,pct_regular,pct_baixa,pct_sem_estimativa,cv_mediano_pre_transicao,cv_mediano_transicao,cv_max_recentes,razao_cv_transicao,crit_a,crit_b,crit_c,instavel
serie_toda,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,41,21,0,52.95560854552555,181.72926079225647,36.58536585365854,0,0,14.634146341463415,48.78048780487805,0,0,81.19159854000829,NA,FALSE,TRUE,FALSE,TRUE
principal,espacado_5,2022T3-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,4,4,36.949533670087824,41.3686128121313,47.709217812123,0,0,0,100,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
principal,todos,2022T1-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,18,18,39.903935303112306,68.90117866425678,102.31315444213347,0,0,5.555555555555555,94.44444444444444,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
sem_pandemia,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,8,8,36.84370331400878,37.643776921975785,47.709217812123,0,0,0,100,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
sem_pandemia,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,34,34,35.769043641173376,45.741069534266245,102.31315444213347,0,0,11.764705882352942,88.23529411764706,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
serie_toda,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,9,9,36.79858559401206,37.47636555202947,47.709217812123,0,0,0,100,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
serie_toda,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Jovens,41,41,36.79858559401206,44.42897068236172,102.31315444213347,0,0,9.75609756097561,90.2439024390244,0,46.06909424724236,32.574163535035325,37.14154281213683,0.707071933305595,FALSE,FALSE,FALSE,FALSE
principal,espacado_5,2022T3-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Instrucao,Fundamental completo ou equivalente,4,4,88.36490903513902,122.73986592637715,138.40487914217402,0,0,0,100,0,75.15234720591258,29.36257860592984,138.40487914217402,0.39070740565797996,FALSE,FALSE,FALSE,FALSE
principal,todos,2022T1-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Instrucao,Fundamental completo ou equivalente,18,17,69.30497152407126,108.37992287639126,153.65660018446414,0,5.555555555555555,5.555555555555555,83.33333333333333,5.555555555555555,75.15234720591258,29.36257860592984,138.40487914217402,0.39070740565797996,FALSE,FALSE,FALSE,FALSE
sem_pandemia,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Instrucao,Fundamental completo ou equivalente,8,8,60.79102808719038,102.29288971743668,138.40487914217402,0,0,0,100,0,75.15234720591258,29.36257860592984,138.40487914217402,0.39070740565797996,FALSE,FALSE,FALSE,FALSE
