Indicador,Indicador_Nome,Recorte_Regional,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Rendimento_Medio_Habitual,Rendimento Médio Habitual,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),3505483346.895653,"4, 199",3.95721258338253e-10,***,9.059934072481055e-10,***,12926
Rendimento_Medio_Habitual,Rendimento Médio Habitual,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),3208846184.4555817,"1, 199",6.308938135194422e-10,***,1.4073785070818323e-9,***,12926
Rendimento_Medio_Habitual,Rendimento Médio Habitual,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),3211092539.2286987,"2, 199",6.642095288265373e-10,***,1.4446557251977182e-9,***,12926
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),88.47604324429767,"1, 199",3.261933707515326e-9,***,6.921664208630082e-9,***,4961
Rendimento_Informal,Rendimento Médio — Setor Informal,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),784557622.3094864,"25, 199",3.642691271033833e-9,***,7.545574775712942e-9,***,2485
Taxa_Participacao,Taxa_Participacao,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),154.43431940978735,"4, 199",4.026945367663227e-9,***,8.147540627597692e-9,***,10588
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),263.83602104952206,"4, 199",4.613079054113984e-9,***,9.121315402452647e-9,***,5785
Rendimento_Medio_Habitual,Rendimento Médio Habitual,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),6655493580.072311,"25, 199",7.3631095283252504e-9,***,1.4235345088095484e-8,***,12926
Taxa_Participacao,Taxa_Participacao,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),378.4100132772164,"25, 199",8.845988312712715e-9,***,1.6730456156652313e-8,***,10588
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),48.48009382457758,"1, 199",9.737500900136838e-9,***,1.8024735708763933e-8,***,2800
Nivel_Ocupacao,Nivel_Ocupacao,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),143.27386677435788,"4, 199",5.5140378602464265e-8,***,9.994193621696649e-8,***,10588
Motivo_Nao_Procura_NemNem,Motivo de Não Procurar Trabalho (Nem-Nem),Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svychisq,9.7482856188808409,"3.71185285148057, 738.658717444633",2.703288568713167e-7,***,4.799716438327459e-7,***,664
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),194.15954215317515,"4, 199",5.762448622846306e-7,***,1.0026660603752573e-6,***,5164
Motivo_Nao_Procura_NemNem,Motivo de Não Procurar Trabalho (Nem-Nem),Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svychisq,6.075966915557926,"6.88361040522998, 1369.83847064077",6.395164503137591e-7,***,1.0909398270058244e-6,***,664
Nivel_Ocupacao,Nivel_Ocupacao,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),378.6510072922192,"25, 199",2.4946492987766412e-6,***,4.173740172953227e-6,***,10588
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),104.38971634449672,"1, 199",4.68597589473596e-6,***,7.692073638528842e-6,***,5164
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),27.926854004605048,"2, 199",2.714383483446254e-5,***,4.373173389996743e-5,***,2800
Motivo_Nao_Procura_NemNem,Motivo de Não Procurar Trabalho (Nem-Nem),Zona,Zona (Urbana/Rural),Zona,svychisq,6.853999724690449,"3.8184867685495, 759.87886694135",2.884009796861771e-5,***,4.5619791332177105e-5,***,664
Rendimento_Formal,Rendimento Médio — Setor Formal,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),4154244431.288475,"25, 199",2.994132021717331e-5,***,4.651597962310854e-5,***,10441
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),25.56633149220761,"1, 199",3.888160300559792e-5,***,5.934560458749157e-5,***,2800
Rendimento_Formal,Rendimento Médio — Setor Formal,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),1399940580.8401108,"2, 199",4.010020947466896e-5,***,6.015031421200344e-5,***,10441
Rendimento_Formal,Rendimento Médio — Setor Formal,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),1378339573.0834274,"1, 199",4.254015086448491e-5,***,6.27286970374608e-5,***,10441
Rendimento_Formal,Rendimento Médio — Setor Formal,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),1521285436.4518356,"4, 199",6.423510939256038e-5,***,9.314090861921256e-5,***,10441
Motivo_Desistencia_Desalentado,Motivo da Desistência (Desalentados),Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svychisq,7.928599399916534,"2.70910645027508, 539.112183604742",7.076766286605498e-5,***,1.0093092900568496e-4,***,361
Motivo_Nao_Procura_NemNem,Motivo de Não Procurar Trabalho (Nem-Nem),Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svychisq,3.015057869487499,"14.6787862996716, 2921.07847363465",8.980710359220716e-5,***,1.2601964536325844e-4,***,664
Motivo_Nao_Inicio_NemNem,Motivo de Não Iniciar Trabalho (Nem-Nem),Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svychisq,5.5582994281278495,"3.80999426375811, 758.188858487863",2.7135621597702435e-4,***,3.747300125397003e-4,***,664
Motivo_Nao_Inicio_NemNem,Motivo de Não Iniciar Trabalho (Nem-Nem),Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svychisq,3.928787279455237,"7.01785055327201, 1396.55226010113",2.9211662746447196e-4,***,3.970960404595166e-4,***,664
Taxa_Desocupacao,Taxa de Desocupação,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),27.404489861101865,"2, 199",3.247928928276584e-4,***,4.347227950154812e-4,***,5424
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),14.489073846055136,"1, 199",6.844718228470172e-4,***,9.022583119347044e-4,***,463
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),32.710378647313064,"4, 199",9.633223761134878e-4,***,0.00125088129435631,**,2800
Motivo_Desistencia_Desalentado,Motivo da Desistência (Desalentados),Zona,Zona (Urbana/Rural),Zona,svychisq,6.390604825760182,"2.26679716626322, 451.092636086381",0.00112574755321562,**,0.00144029466367293,**,361
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),15.835645702713691,"2, 199",0.00195843382124595,**,0.00246932960070141,**,463
Taxa_Desocupacao,Taxa de Desocupação,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),35.203477962148554,"4, 199",0.00717503962515709,**,0.00891754924840952,**,5424
Taxa_Desocupacao,Taxa de Desocupação,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),13.654460478976034,"1, 199",0.00950557014847932,**,0.01164767046362959,*,5424
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),7.942436250509331,"1, 199",0.01055957709346265,*,0.01275948898793404,*,463
Motivo_Desistencia_Desalentado,Motivo da Desistência (Desalentados),Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svychisq,2.3525423143633577,"7.68638153124463, 1529.58992471768",0.01781136450028968,*,0.02122724262363291,*,361
Motivo_Nao_Inicio_NemNem,Motivo de Não Iniciar Trabalho (Nem-Nem),Zona,Zona (Urbana/Rural),Zona,svychisq,2.981644114243889,"4.02339140195499, 800.654888989043",0.01826057465858976,*,0.02146851344996364,*,664
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),611.0808041338096,"25, 199",0.03592029896517693,*,0.04166754679960524,*,4961
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),19.171814228452035,"4, 199",0.03740191361148969,*,0.04281534847631056,*,463
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),8.273818179468321,"2, 199",0.04360034217512581,*,0.04897382355566376,*,463
Motivo_Desistencia_Desalentado,Motivo da Desistência (Desalentados),Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svychisq,2.4742029822414273,"3.94301997395514, 784.660974817072",0.04390756594645716,*,0.04897382355566376,*,361
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),19.001027379654943,"4, 199",0.05636017468669711,ns,0.06167751818055091,ns,463
Taxa_Desocupacao,Taxa de Desocupação,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),4.689140599934035,"1, 199",0.0567149592464836,ns,0.06167751818055091,ns,5424
Percentual_Subremuneracao,Subremuneração (abaixo do salário-mínimo/hora),Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),404.9948827539074,"25, 199",0.08894269776703695,ns,0.09553104574978044,ns,12926
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),416.5959783029748,"25, 199",0.108359912814654,ns,0.1149672245716451,ns,4961
Taxa_Informalidade,Taxa de Informalidade,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),353.0513119461657,"25, 199",0.1445166667851563,ns,0.15148132542540477,ns,4961
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),2.0259019317596767,"1, 199",0.26777691652051444,ns,0.2773403778248186,ns,463
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),0.7710084192718796,"1, 199",0.4598471567049176,ns,0.4706670898038568,ns,463
Taxa_Nem_Nem,Taxa de Nem-Nem (14 a 29 anos),Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),92.39477594720256,"25, 199",0.5398479465964965,ns,0.5461252483011069,ns,2800
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),298.717246520288,"25, 199",0.799823646725,ns,0.799823646725,ns,5164
