checagem,ok,territorio,ano,tri
subutil <= ft_ampliada,TRUE,Piauí,2021,4
taxa desocupação antiga == nova,TRUE,Piauí,2021,4
ft + fora_ft == pit,TRUE,Piauí,2022,1
ocup + desocup == ft,TRUE,Piauí,2022,1
sexo: soma == pit,TRUE,Piauí,2022,1
faixa SIDRA: soma == pit,TRUE,Piauí,2022,1
subutil <= ft_ampliada,TRUE,Piauí,2022,1
taxa desocupação antiga == nova,TRUE,Piauí,2022,1
ft + fora_ft == pit,TRUE,Piauí,2022,2
ocup + desocup == ft,TRUE,Piauí,2022,2
sexo: soma == pit,TRUE,Piauí,2022,2
faixa SIDRA: soma == pit,TRUE,Piauí,2022,2
subutil <= ft_ampliada,TRUE,Piauí,2022,2
taxa desocupação antiga == nova,TRUE,Piauí,2022,2
ft + fora_ft == pit,TRUE,Piauí,2022,3
ocup + desocup == ft,TRUE,Piauí,2022,3
sexo: soma == pit,TRUE,Piauí,2022,3
faixa SIDRA: soma == pit,TRUE,Piauí,2022,3
subutil <= ft_ampliada,TRUE,Piauí,2022,3
taxa desocupação antiga == nova,TRUE,Piauí,2022,3
ft + fora_ft == pit,TRUE,Piauí,2022,4
ocup + desocup == ft,TRUE,Piauí,2022,4
sexo: soma == pit,TRUE,Piauí,2022,4
faixa SIDRA: soma == pit,TRUE,Piauí,2022,4
subutil <= ft_ampliada,TRUE,Piauí,2022,4
taxa desocupação antiga == nova,TRUE,Piauí,2022,4
ft + fora_ft == pit,TRUE,Piauí,2023,1
ocup + desocup == ft,TRUE,Piauí,2023,1
sexo: soma == pit,TRUE,Piauí,2023,1
faixa SIDRA: soma == pit,TRUE,Piauí,2023,1
subutil <= ft_ampliada,TRUE,Piauí,2023,1
taxa desocupação antiga == nova,TRUE,Piauí,2023,1
ft + fora_ft == pit,TRUE,Piauí,2023,2
ocup + desocup == ft,TRUE,Piauí,2023,2
sexo: soma == pit,TRUE,Piauí,2023,2
faixa SIDRA: soma == pit,TRUE,Piauí,2023,2
subutil <= ft_ampliada,TRUE,Piauí,2023,2
