Indicador,Recorte_Regional,Variavel_Testada,Metodo,Estatistica,GL,p_valor,N,n_testes_familia,p_ajustado
Taxa_Informalidade,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),182.01553786118075,"1, 199",2.3495313703062102e-18,4961,92,9.825313003098697e-18
Taxa_Subocupacao,Zona,Zona,svyglm+regTermTest(LRT),88.47604324429767,"1, 199",3.261933707515326e-9,4961,92,5.884272570419804e-9
Taxa_Subocupacao,Situacao,Situacao,svyglm+regTermTest(LRT),111.79637245336971,"2, 199",8.399604957233232e-11,4961,92,1.6799209914466464e-10
Taxa_Subocupacao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),339.1476123662851,"2, 199",1.0787913374380732e-27,4961,92,1.417840043490039e-26
Taxa_Subocupacao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),363.1664283254172,"4, 199",1.5212281590473067e-17,4961,92,5.831374609681343e-17
Taxa_Subocupacao,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),416.5959783029748,"25, 199",0.108359912814654,4961,92,0.11728367034056668
Taxa_Subocupacao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),312.63286273726317,"1, 199",4.437221237019557e-39,4961,92,1.3607478460193308e-37
Proporcao_Ocupados_Escolarizados,Zona,Zona,svyglm+regTermTest(LRT),399.6113567920238,"1, 199",1.1394222702725604e-34,4961,92,2.0965369773015107e-33
Proporcao_Ocupados_Escolarizados,Situacao,Situacao,svyglm+regTermTest(LRT),405.17936397539233,"2, 199",2.561636423823881e-33,4961,92,3.927842516529951e-32
Proporcao_Ocupados_Escolarizados,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),296.446729939561,"2, 199",1.2064292685100853e-24,4961,92,1.1099149270292784e-23
Proporcao_Ocupados_Escolarizados,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),304.0373770213482,"4, 199",5.968000977714998e-21,4961,92,4.2235083842290755e-20
Proporcao_Ocupados_Escolarizados,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),611.0808041338096,"25, 199",0.035920298965176935,4961,92,0.04183123423792757
Proporcao_Ocupados_Escolarizados,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),290.53723466982865,"1, 199",1.1312312124112263e-24,4961,92,1.1099149270292784e-23
Desalentados_Forca_Ampliada,Zona,Zona,svyglm+regTermTest(LRT),245.08202080861338,"1, 199",1.9511108911635616e-11,5785,92,3.988937821934392e-11
Desalentados_Forca_Ampliada,Situacao,Situacao,svyglm+regTermTest(LRT),252.565046364537,"2, 199",3.339801727419897e-9,5785,92,5.9088799792813565e-9
Desalentados_Forca_Ampliada,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),240.54595502641132,"2, 199",5.058536991942198e-19,5785,92,2.3269270162934107e-18
Desalentados_Forca_Ampliada,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),263.83602104952206,"4, 199",4.613079054113984e-9,5785,92,7.71642314506339e-9
Desalentados_Forca_Ampliada,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),216.4843588660733,"1, 199",6.283470593976194e-38,5785,92,1.4451982366145247e-36
Desalentados_Fora_Forca,Zona,Zona,svyglm+regTermTest(LRT),104.38971634449672,"1, 199",4.68597589473596e-6,5164,92,6.843012417709656e-6
Desalentados_Fora_Forca,Situacao,Situacao,svyglm+regTermTest(LRT),111.34153479238876,"2, 199",1.5099451733829406e-4,5164,92,1.9844993707318647e-4
Desalentados_Fora_Forca,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),164.95306137554508,"2, 199",2.3238255306028837e-12,5164,92,5.090284495606317e-12
Desalentados_Fora_Forca,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),194.15954215317515,"4, 199",5.762448622846306e-7,5164,92,8.690906119702625e-7
Desalentados_Fora_Forca,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),298.717246520288,"25, 199",0.799823646725,5164,92,0.799823646725
Desalentados_Fora_Forca,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),143.0499652276012,"1, 199",5.755713688435225e-27,5164,92,6.619070741700509e-26
Taxa_Nem_Nem,Zona,Zona,svyglm+regTermTest(LRT),48.48009382457758,"1, 199",9.737500900136838e-9,2800,92,1.5445691082975674e-8
Taxa_Nem_Nem,Situacao,Situacao,svyglm+regTermTest(LRT),48.62438231963961,"2, 199",2.2300569164399156e-8,2800,92,3.477376886652072e-8
